Niche,Channel,Subs,AvgViews,OutlierScore,Patterns,URL
Tea Ceremony,Comedic Tea Ceremony,2970,17035,5.74,"#NewTeaLaunch, #TimeContrast, #UrgencyMarketing, #LifestyleAesthetic, #HolidayCelebration",https://www.youtube.com/channel/UCNh1wQMB51r6jR8jnESc2JA
Sustainable Living,Self Sustainable Life,152000,666083,4.38,"#NotXButY, #BenefitStacking, #PurityClaim, #ZeroWaste, #SeasonalSolution, #DIYPreparation",https://www.youtube.com/channel/UC0HRiu6tTcgIKDD9kiHSqsg
Zero Waste,Zero Waste Home,41900,105952,2.53,"#ZeroWaste, #WhatToPack, #HowTo, #EasySteps, #Essentials",https://www.youtube.com/channel/UCl4jHrJ3G0yE5Al525YOL-Q
Leatherworking,Elkwood Leather,12800,324323,25.34,"#TheSatisfyingEndResult, #ProductShowcase, #CuriosityGap, #TheMakingOf, #PersonalFavorite, #ASMR",https://www.youtube.com/channel/UCuKr4fTntyJM-pc6OXxBNJg
Jewelry Making,Beads Jewelry Making,7500,11821,1.58,"#CrazyEasy, #BeginnerFriendly, #MustTry, #EasierThanYouThink, #StepByStep, #DIYJewelry, #AtHome",https://www.youtube.com/channel/UCSeKCvSR_ZdaVgSK8ECtHhQ
Watch Restoration,Dream Restoration,6570,18160,2.76,"#FullRestoration, #IncredibleTransformation, #ASMR, #RustyRevival, #FleaMarketFind, #ScrapToStunning, #TrashToTreasure",https://www.youtube.com/channel/UCsCrL0Nrh4Pp0Ec6GZ3xnmg
Watch Restoration,Gentlemen's Watch Services,8120,14656,1.8,"#Exposed, #Personification, #Storytelling, #TheTruthAbout, #Restoration, #Education, #Warning",https://www.youtube.com/channel/UCSQIRFSoGuw5k2xYF3EpUdw
Model Building,SK model building,1810,5022,2.77,"#EventRecap, #YearlyArchive, #WorkshopSeries, #TechniqueTutorial, #ExhibitionShowcase",https://www.youtube.com/channel/UCiUf9Hj2HgvAEpy1CHKR-4w
RC Planes,S&S Rc Planes,1110,2170,1.96,"RC Warbird, TBM Avenger, RadioMaster vs. Spectrum, Detailed Look, History, Worth Buying?",https://www.youtube.com/channel/UCWYHTYhyM9jZ94e3Gyv16Ww
Drones,The Drones - Topic,1170,11265,9.63,"#MetaphoricalHook, #MythologicalArchetype, #DirectQuestion, #FirstPersonDeclaration, #SingleWordMystery",https://www.youtube.com/channel/UCk4ppsaw4yuYVgGhqbDt3Zw
Home Automation,Hubitat Home Automation,13800,215302,15.6,"#TheNew, #Tutorial, #HowTo, #Comparison, #BestOf, #Ultimate, #GettingStarted",https://www.youtube.com/channel/UC_U6xPALM_7_VH1Cw0Nl4CQ
Rock Climbing,Ethan Heinrichs,557000,2252023,4.04,"#NegativityHook, #CliffhangerEllipsis, #CapsEmphasis, #ExtremeChallenge, #FirstPersonNarrative, #CuriosityGap",https://www.youtube.com/channel/UCm0k2MnMLPRwhmzrVZa8Ccw
Calisthenics,Alexandrosthenics,857000,7192936,8.39,"#CuriosityGap, #DisbeliefHook, #MentorStudentDynamic, #PartnerChallenge, #EmojiOverload, #CliffhangerEnding, #TransformationNarrative",https://www.youtube.com/channel/UClvv1YdQb01JtS7c3qOQGkA
Calisthenics,NhuActive Calisthenics,33200,165564,4.99,"#ForBeginners, #FullBody, #NoEquipment, #EverythingYouNeedToKnow, #BenefitFocused, #TheScienceOf, #SafetyAndForm",https://www.youtube.com/channel/UCwCcG9Dvq5dpvq8IakOyS9g
Martial Arts,Simple Man Martial Arts,32200,238977,7.42,"#BehindTheScenes, #NameAssociation, #Collaboration, #SpecificTechnique, #CounterNarrative, #AuthorityProof, #CuriosityGap, #EventHighlight, #InsideLook",https://www.youtube.com/channel/UCquMCMvM-5t4PR6Vx2CvnKQ
Self Defense,Self-Protection & Defense Tips for Women,2510,8040,3.2,"#AlliterativeBranding, #FruitMetaphors, #SpecificTechnique, #EquipmentPersonification, #RoutineDocumentation",https://www.youtube.com/channel/UCOKYXWIlLjIbcUtg4WuwQxw
Mentalism,Mentalist Amit Kalantri,3450,72058,20.89,"#MentalistBranding, #ActBasedFeats, #CollaborationShoutouts, #AudienceSocialProof, #SensoryExperience, #TheUltimateSeries, #TelepathyFeats, #NameGuessingActs",https://www.youtube.com/channel/UC1Ar-Er0B--U6qojITZuL0w
